published_at,keywords,entertainment,politics,finance
2019-02-11T10:04:30+0000,"[cnbc, articles, tax planning, politics, personal finance, government taxation and revenue, personal finance, us: news, taxes, investing, tax planning, source:tagname:reuters]",0,1,0
2019-01-30T20:32:22+0000,"[cnbc, articles, oaktree capital group llc, investment strategy, markets, investing, investment strategy, investment strategies, us: news, source:tagname:cnbc us source]",0,0,0
2021-06-03T10:44:44+0000,[sustained phenomenon],0,0,0
2007-04-30T06:55:55+0000,"[\"\" eni chief executive officer paolo scaroni said in the statement.eni is one of the few world oil majors which has been able to largely avoid a decline in output as it adds production both through acquisitions and as new fields come onstream.it has made several large acquisitions recently.earlier this month it won with italian utility enel a $5.8 billion auction for assets formerly held by bankrupt oil firm yukos but they handed the bulk of the prize to russian gas monopoly gazprom.eni agreed to buy a package of congolese assets from france's maurel et prom for $1.4 billion earlier this year and in march struck a deal to split a stake in one of those fields with burren energy.\"]",0,0,0
2015-10-06T19:24:25+0000,[but that does not stop us fools from trying],0,0,0
2021-05-12T21:01:16+0000,[ages 18 to 48],0,0,0
2014-05-29T01:01:17+0000,"[\"\" releasing its annual list of the world's  100 most powerful women]",0,0,0
2014-05-12T15:38:19+0000,"[click here.\"]",0,0,0
2008-03-04T00:25:24+0000,"[cnbc, articles, cnbc tv, fast money, source:tagname:cnbc us source]",0,0,0
2015-03-19T19:43:07+0000,"[\"\" brown said in a release. \"\"the programs funded by the  actions announced today will provide direct relief to workers and  communities most impacted by these historic dry  conditions.\"\"read more2014 california drought was bad. 2015 will be worsethe package would include funding for safe drinking water and infrastructure projects designed to help the state deal with dry weather.\"]",0,0,0
2016-05-19T03:03:37+0000,"[cnbc, articles, economy, asia news, philippines, business news, us economy, economic reports, gdp, source:tagname:reuters]",0,0,0
2016-12-17T15:07:56+0000,"[and pitbull — not visit florida — made it public two  days later.scott said it is ridiculous that visit florida wasn't transparent  about its spending.\"]",0,0,0
2018-02-26T21:26:02+0000,"[\"\" tweeted lt. gov. casey cagle]",0,0,0
2007-07-05T00:57:16+0000,"[cnbc, articles, cnbc tv, fast money, source:tagname:cnbc us source]",0,0,0
2018-02-28T14:30:29+0000,"[\"\" he said.earlier in the session]",0,0,0
2010-07-26T14:19:22+0000,"[cnbc, articles, ak steel holding corp, abbott laboratories, jabil circuit inc, nvidia corp, verizon communications inc, cnbc tv, mad money, source:tagname:cnbc us source]",0,0,0
2012-01-25T20:27:04+0000,"[cnbc, articles, microsoft corp, apple inc, alphabet class a, cnbc events, netnet, source:tagname:cnbc us source]",0,0,0
2017-07-31T19:31:48+0000,"[cnbc, articles, bonds, u.s. 10 year treasury, u.s. 2 year treasury, u.s. 5 year treasury, ishares core u.s. aggregate bond etf, vanguard total bond market index fund etf shares, markets, source:tagname:]",0,0,0
2012-04-16T16:44:20+0000,"[cnbc, articles, commodity markets, u.s. dollar, broadcom inc, nasdaq composite, netflix inc, reliance steel & aluminum co, seagate technology holdings plc, apple inc, futures & commodities, u.s. dollar, dow 30, markets, u.s. markets, market insider, trader talk, source:tagname:cnbc us source]",0,0,0
2021-05-11T12:30:01+0000,[the mercury of the women's national basketball association],0,0,0
2020-03-18T16:17:43+0000,"[\"\" nick holeman]",0,0,0
2019-01-10T20:04:07+0000,"[cnbc, articles, jamal khashoggi, saudi arabia, bonds, personal loans, markets, politics, energy, oil and gas, debt, source:tagname:cnbc us source]",0,1,0
2019-03-03T17:00:13+0000,"[cnbc, articles, tampa bay rays, san diego padres, boston red sox, miami marlins, manny machado, mlb teams, mlb spring training, major league baseball, business, sports, business news, life, source:tagname:cnbc us source]",0,0,0
2021-09-03T00:42:01+0000,[benefits and tax — points to an uptick in the overall cost of mid-level expat packages in japan. it comes even as other parts of the world saw the price of accommodation and benefits take a hit due to the pandemic.the u.k. fell from the top spot to rank as the second most expensive location to send overseas employees in 2020. the others that ranked high on the overall cost list were india],0,0,0
2007-09-12T04:25:04+0000,[on a real basis],0,0,0
2016-03-22T14:54:22+0000,[where these types of events  do affect consumer sentiment],0,0,0
2007-03-16T06:24:33+0000,[it is understandable for the banks to lend aggressively at the beginning of the year],0,0,0
2009-10-22T17:23:03+0000,"[cnbc, articles, s&p 500 index, alexion pharmaceuticals inc, capital one financial corp, goldman sachs group inc, hp inc, 3m co, microsoft corp, travelers companies inc, wells fargo & co, mcdonald's corp, fast money, cnbc tv, fast money halftime report, source:tagname:cnbc us source]",0,0,0
2012-01-18T22:09:31+0000,"[cnbc, articles, business news, life, entertainment, adult entertainment, adult entertainment expo, porn convention 2012, source:tagname:cnbc us source]",0,0,0
2021-02-05T17:30:52+0000,"[including free-to-play \"\"warzone]",0,0,0
2011-10-25T21:19:30+0000,"[cnbc, articles, cnbc tv, fast money, source:tagname:cnbc us source]",0,0,0
2013-02-26T09:32:17+0000,"[cnbc, articles, politics, economy, business news, world economy, europe news, source:tagname:cnbc us source]",0,1,0
2006-12-14T23:29:44+0000,"[but encouraged shareholders to be patient. \"\"i feel very good about the changes were making ... but there's no short-cut to get from where we are to where we're going]",0,0,0
2012-10-08T09:04:00+0000,"[\"\" said a euro zoneofficial]",0,0,0
2009-02-09T22:23:28+0000,"[cnbc, articles, business news, retail, consumer goods, consumer nation, source:tagname:cnbc us source]",0,0,0
2014-11-13T18:25:56+0000,[which is very popular in  her home state of louisiana],0,0,0
2010-01-04T20:19:07+0000,"[cnbc, articles, s&p 500 index, fidelity national information services inc, wynn resorts ltd, thermo fisher scientific inc, mead johnson nutrition co, markets, u.s. markets, by the numbers, source:tagname:cnbc us source]",0,0,0
2010-07-08T18:10:10+0000,"[\"\" david berman]",0,0,0
2015-11-23T20:57:10+0000,[but opec  is overall for sure. at some point],0,0,0
2008-08-29T15:25:24+0000,[they don't understand currency markets],0,0,0
2014-06-17T06:09:51-0400,[this 4-year-old company provides customers such as airbnb],0,0,0
Nexmo grew its revenue by more than 350 percent. The company—backed by such investors as Sorenson Capital and Intel Capital—reported revenue of $40 million last year,"",0,0,0
2017-08-30T20:20:38+0000,"[\"\" a kalanick spokesperson said. \"\"benchmark's false allegations are wholly without merit and have unnecessarily harmed uber and its shareholders.\"\"more from recode:   travis kalanick's new lawyers say the uber-benchmark lawsuit belongs in arbitration   a top venture capital lobbyist says more sexual harassment allegations will emerge from silicon valley   some startup founders are 'nervous' about dealing with benchmark after it sued uber the arguments were made in a courtroom in georgetown]",0,0,0
2012-08-30T18:05:09+0000,"[cnbc, articles, special reports, investing in, investing in: turkey, source:tagname:cnbc us source]",0,0,0
2011-11-18T17:50:14+0000,"[cnbc, articles, cnbc tv, fast money halftime report, source:tagname:cnbc us source]",0,0,0
2016-02-05T15:27:47+0000,[we might get some volatility],0,0,0
2015-01-23T19:24:15+0000,[the father and son are seeing big  dollars.the father and son have opened a pawnshop exclusively  devoted to sneakers. sneaker pawn usa is based in an apartment in new york's harlem where the two used to live and have converted into sneaker start-up central.  the duo advertise on social media platforms and share  their inventory. sneakers fans from around the world visit their  harlem shop],0,0,0
2013-02-13T12:55:50+0000,"[\"\" cahill said at a news conference in miami. \"\"we  obviously are very]",0,0,0
2011-11-28T15:05:41+0000,"[cnbc, articles, business news, small business, source:tagname:the new york times]",0,0,0
2017-10-23T20:11:12+0000,"[makeit, articles, make it, make it - money, source:tagname:cnbc us source]",0,0,0
2020-09-29T15:55:01+0000,"[\"\" gelsinger said. vmware shares have dropped this year]",0,0,0
2014-01-02T12:38:05+0000,"[which points to valuation as well as  possible profit margin pressure at whatever time apple introduces  another new version of the iphone.  bank of america–citi upgraded b of a to \"\"buy\"\" from  \"\"neutral\"\"]",0,0,0
2019-01-11T18:29:51+0000,"[cnbc, articles, alphabet class a, amazon.com inc, technology, tech drivers, source:tagname:cnbc us source]",0,0,0
2016-12-14T04:06:02+0000,"[cnbc, articles, us dollar/singapore dollar fx spot rate, asia news, trade, world economy, central banking, jobs, inflation, asia economy, singapore, world economy, central banks, singapore dollar, business news, economy, source:tagname:cnbc asia source]",0,0,0
2013-05-31T17:12:25+0000,"[000 bucks.\"\" but this is probably unrealistic.\"]",0,0,0
2020-04-13T21:08:49+0000,[that is important ... going back to a new normal],0,0,0
2021-02-22T13:30:41+0000,[earning $3.8 billion. his flagship fund was up 26% last year],0,0,0
2014-04-07T20:24:50+0000,"[\"\" said mike enright]",0,0,0
2012-11-01T19:27:00+0000,"[cnbc, articles, ford motor co, toyota motor corp, europe, new york city, new york, michigan, detroit, north america, united states, italy, wires, source:tagname:reuters]",0,0,0
2007-05-04T02:46:24+0000,"[cnbc, articles, business news, economy, us economy, us: news, source:tagname:reuters]",0,0,0
2019-06-09T20:35:14+0000,"[\"\" united technologies chairman and ceo greg hayes said in a release. \"\"by joining forces]",0,0,0
2020-02-14T16:54:58+0000,[plain and simple],0,0,0
2009-07-28T16:50:50+0000,"[cnbc, articles, bank of america corp, business news, economy, us economy, us: news, source:tagname:the associated press]",0,0,0
2007-04-16T17:48:42+0000,"[\"\" said richard suttmeier]",0,0,0
2017-10-24T09:26:38+0000,"[\"\" said michael shaoul]",0,0,0
2016-07-08T09:29:58-0400,"",0,0,0
https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2014/09/10/101989984-RTR453OC.720x405.jpg,"",0,0,0
2011-09-07T14:51:39+0000,"[cnbc, articles, american airlines group inc, citigroup inc, hartford financial services group inc, international paper co, pepsico inc., business news, economy, us economy, us: news, source:tagname:cnbc us source]",0,0,0
2020-12-23T16:13:36+0000,"[\"\" cuomo said last week. \"\"but there's a big but]",0,0,0
2012-07-18T16:51:47+0000,"[cnbc, articles, disclaimer, bonds, currencies, futures & commodities, dow 30, 5 stocks under $10 that probably won’t double, lights. camera. invest! putting filmmaking in the portfolio, verifone systems inc, imax corp, synageva biopharma corp, deckers outdoor corp, markets, stocks, stock blog, source:tagname:the street]",0,0,0
2009-08-17T18:49:35+0000,"[cnbc, articles, business news, economy, us economy, us: news, source:tagname:cnbc us source]",0,0,0
2019-01-21T14:51:25+0000,"[cnbc, articles, u.s. democratic party, white house, elizabeth warren, mike bloomberg, joe biden, bernie sanders, cory booker, elections, politics, us: news, source:tagname:the associated press]",0,1,0
2007-07-18T18:09:35+0000,[and we'll explore hindery's assessment of the top populist in the democratic race. fyi: it's good to be back blogging after my vacation. however],0,0,0
2020-06-09T06:27:35+0000,"[cnbc, articles, breaking news: markets, bonds, central banking, world markets, bitcoin, markets, u.s. 10 year treasury, u.s. 2 year treasury, u.s. 5 year treasury, ishares core u.s. aggregate bond etf, vanguard total bond market index fund etf shares, u.s. 30 year treasury, us economy, central banks, u.s. markets, us: news, source:tagname:cnbc europe source]",0,0,0
2020-06-29T23:01:54+0000,[they're overwhelmingly tech companies that help facilitate the stay-at-home economy],0,0,0
2012-10-01T20:39:00+0000,"[cnbc, articles, ukraine, europe, texas, new york city, new york, mississippi, georgia, atlanta, george w. bush, north america, united states, canada, united kingdom, eastern europe, press releases, cnbc information and policies, cnbc: news releases, source:tagname:pr newswire]",0,0,0
2010-06-28T18:32:18+0000,"[cnbc, articles, bp plc, alphabet class a, opinion, blogs, pony blog, source:tagname:cnbc us source]",0,0,0
2017-01-24T23:15:09+0000,"[\"\" was  initially introduced last year]",0,0,0
2015-02-13T22:39:51+0000,"[cnbc, articles, stock markets, apple inc, cerner corp, goldcorp inc, campbell soup co, spdr s&p metals & mining etf, stocks, fast money, cnbc tv, source:tagname:cnbc us source]",0,0,0
2014-12-05T15:35:11+0000,[as an adviser],0,0,0
2016-09-20T11:24:53+0000,[2017 and nov. 22],0,0,0
2011-06-07T17:57:49+0000,"[\"\"marathon training made fun]",0,0,0
2021-10-18T08:00:25+0000,"[\"\" experts have warned.a perfect storm of labor shortages]",0,0,0
2016-02-05T16:37:00+0000,[… with the top two stocks being freeport mcmoran and  newmont mining],0,0,0
2015-10-12T05:13:49+0000,"[\"\" eurogroup president jeroen  dijsselbloem told cnbc.  \"\"a little bit more self-confidence (is what is needed). there's  been a lot of criticism about how the euro works]",0,0,0
2015-03-29T03:13:57+0000,"[\"\" tsipras said in an interview with  sunday's real news newspaper.  after answering a question regarding government attempts to deal  with corruption]",0,0,0
2012-10-02T18:23:00+0000,[but while the benefits are largelypriced in],0,0,0
2018-11-30T11:38:30+0000,"[not to praise it.\"\"\"\"these things were never going to be currencies. they're not going to be currencies at any point in the future]",0,0,0
2016-07-22T11:44:12+0000,[not donald trump],0,0,0
2011-11-17T11:50:06+0000,"[cnbc, articles, business news, economy, world economy, europe news, source:tagname:cnbc us source]",0,0,0
2021-02-19T16:48:01+0000,[i'm going to be a president for all americans],0,0,0
2014-08-21T08:59:31+0000,"[cnbc, articles, ftse 100, dax, cac 40 index, europe news, politics, markets, europe markets, source:tagname:cnbc europe source]",0,1,0
2018-02-13T05:00:00+0000,"[\"\" said rose quint]",0,0,0
2012-10-09T06:12:00+0000,"[cnbc, articles, europe, eastern europe, russia, wires, source:tagname:thomson financial news]",0,0,0
2008-03-18T01:15:41+0000,"[commercial banks were the only institutions that could use the fed's short term borrowing window. traders said the fed's rule change was a big reason why stock trading was so orderly monday. lehman's cfo erin callan is expected to appear on \"\"closing bell\"\" tuesday. chop]",0,0,0
2007-08-16T21:27:50+0000,"[cnbc, articles, cnbc tv, fast money, source:tagname:cnbc us source]",0,0,0
2015-10-16T17:21:29+0000,[tweets],0,0,0
2017-11-08T12:52:00+0000,"[cnbc, articles, s&p 500 index, annuities, investment management, investor toolkit, taxes and stocks, special reports, investing, financial advisors, source:tagname:cnbc us source]",0,0,0
2018-05-09T14:37:57+0000,"[cnbc, articles, automobile parts retailers, retail e-commerce sales, e-commerce, shopping malls, department store operators, retail industry, amazon.com inc, sears holdings corp, retail, us: news, do not use consumer, e-commerce, department stores, technology, business news, source:tagname:cnbc us source]",0,0,0
2017-04-27T19:23:42+0000,"[\"\" sen. heidi heitkamp]",0,0,0
2011-06-13T21:32:25+0000,"[cnbc, articles, cnbc tv, fast money, source:tagname:cnbc us source]",0,0,0
2016-07-21T18:59:41+0000,[and i've  never seen anything like it. these people stood on their feet and  booed. these are republicans! they don't do this. they don't know  how to stand up and boo! and yet],0,0,0
2013-05-20T17:39:16+0000,"[cnbc, articles, meta platforms inc, ebay inc, the profit, cnbc tv, source:tagname:cnbc us source]",0,0,0
2020-09-06T18:58:46+0000,[water cannons],0,0,0
2017-06-26T15:12:46+0000,"[who landed his job as a speechwriter at the white house at 24 years old.\"\"too often people get into a room]",0,0,0
2017-09-06T07:25:38+0000,[with the fall technically only starting only at the end of september],0,0,0
2011-08-16T01:13:41+0000,"[cnbc, articles, business news, economy, world economy, asia news, source:tagname:cnbc us source]",0,0,0
2020-02-28T20:36:23+0000,"[\"\" kudlow added.read the full report from the washington post.\"]",0,0,0
2011-03-30T20:25:57+0000,[athenahealthis starting to show up on the o’neil radar],0,0,0
2015-09-25T10:00:00+0000,"[but hold the energy.\"\"  a new set of exchange-traded funds offered by proshares allows investors to get exposure to the entire]",0,0,0
2013-04-09T21:52:09+0000,"[\"\" he  said. \"\"a lot of people were expecting something to happen in  march]",0,0,0
2007-11-12T14:23:23+0000,[which is for rising inflows of non-performing loans in both mortgage and commercial loan portfolios],0,0,0
2020-02-20T03:08:38+0000,"[\"\" bloomberg said.\"\"unfortunately]",0,0,0
2008-06-11T16:42:59+0000,"[cnbc, articles, cnbc tv, fast money, source:tagname:cnbc us source]",0,0,0
2018-11-07T10:46:58+0000,"[\"\" mouayed makhlouf]",0,0,0
2013-03-11T16:59:38+0000,"[cnbc, articles, market insider, genworth financial inc, citigroup inc, walt disney co, johnson & johnson, raytheon technologies corp, outerwall inc, zynga inc, electronic arts, capri holdings ltd, markets, u.s. markets, source:tagname:cnbc us source]",0,0,0
2016-09-23T09:16:52+0000,"[cnbc, articles, jpmorgan chase & co, banks, business news, finance, financials, source:tagname:reuters]",0,0,1
2021-09-09T11:40:58+0000,"[cnbc, articles, health care industry, investment strategy, economy, interest rates, federal reserve system, markets, politics, technology, business, lululemon athletica inc, joe biden, delta air lines inc, united airlines holdings inc, netease inc, gamestop corp, nasdaq composite, s&p 500 index, dow jones industrial average, bitcoin/usd coin metrics, business news, 5 things to know, investing, health & science, coronavirus, source:tagname:cnbc us source]",0,1,0
000 initial jobless claims</a> for the week ending Sept. 4. That's lower than estimates and a pandemic low all the way back to the week ending March 14,[leading to a rush for unemployment benefits. for the week ending aug. 28],0,0,0
2011-05-19T17:45:37+0000,"[cnbc, articles, business news, energy, source:tagname:cnbc us source]",0,0,0
2013-07-28T11:00:00+0000,"[\"\" said dr. andré  choulika]",0,0,0
2016-08-20T08:11:46+0000,"[\"\" the fitch statement said]",0,0,0
2020-09-16T03:07:16+0000,"[cnbc, articles, politics, white house, congress, economy, joe biden, puerto rico, 2020 elections, race for the white house, source:tagname:cnbc us source]",0,1,0
2020-11-12T00:23:38+0000,"[cnbc, articles, alibaba group holding ltd, china, jd.com inc, retail industry, technology, arjun kharpal, internet, e-commerce, asia economy, retail, e-commerce, china economy, east tech west, source:tagname:cnbc asia source]",0,0,0
2008-03-14T09:54:35+0000,"[cnbc, articles, tesoro corp, chevron corp, business news, energy, oil and gas, source:tagname:the associated press]",0,0,0
2017-03-13T13:30:24+0000,"[\"\" the statement said. the sanctions were introduced in march 2014 following russia's annexation of crimea and its involvement in the revolt in eastern ukraine.the list includes advisers and aides of president vladimir putin]",0,0,0
2019-03-27T16:51:47+0000,[march is on track to set a new monthly record],0,0,0
2014-03-18T12:56:09+0000,"[cnbc, articles, cnbc's net/net, warren buffett, janet yellen, netnet, us: news, cnbc events, source:tagname:cnbc us source]",0,0,0
2019-02-01T07:02:21+0000,"[cnbc, articles, wirecard ag, nasdaq 100 index, s&p 500 index, dow jones industrial average, caixabank sa, electrolux ab, jcdecaux sa, stoxx 600, deutsche bank ag, donald trump, dax, cac 40 index, ftse 100, earnings, stock markets, business, eu, markets, europe news, politics, europe markets, europe economy, european union, business news, stocks, source:tagname:cnbc europe source]",0,1,0
2016-09-09T09:17:00+0000,"[according to the region's political experts.\"\"a large number of material political risks in southern and core  europe are being masked by the noise emanating from brexit]",0,0,0
2021-05-07T13:10:06+0000,[and push back tread financials a quarter or two],0,0,0
2017-01-30T14:06:33+0000,"[cnbc, articles, opec, enterprise group inc, markets, dow jones fut (dec'21), s&p 500 fut (dec'21), nasdaq 100 fut (dec'21), pre-markets, pre-markets, u.s. markets, source:tagname:cnbc us source]",0,0,0
2011-07-18T07:54:48+0000,"[cnbc, articles, harley-davidson inc, business news, source:tagname:financial times]",0,0,0
2021-02-11T21:53:14+0000,[and with limited price history we don't really have any ways to discern how overbought the stock is],0,0,0
2012-01-11T14:38:47+0000,"[cnbc, articles, netflix inc, lexmark international inc, pultegroup inc, safeway inc, sherwin-williams co, slide shows, source:tagname:cnbc us source]",0,0,0
2017-02-02T23:10:50+0000,"[makeit, articles, make it - money, make it, source:tagname:cnbc us source]",0,0,0
2016-11-30T20:06:08+0000,"[cnbc, articles, opec, donald trump, federal reserve system, european central bank, commodity markets, spdr gold shares, ishares silver trust, ishares gold trust, futures & commodities, the fed, gold, bank of england, gold overview, markets, metal commodities, source:tagname:reuters]",0,0,0
2018-06-06T16:30:41+0000,[when you're so glad you were there and part of it],0,0,0
2016-01-11T11:29:03-0500,[they might start with the fraser institute's annual economic freedom of north america report.  the latest report finds that states with more stringent labor laws],0,0,0
2014-11-29T12:21:36+0000,"[cnbc, articles, personal finance, personal loans, personal saving, personal finance, debt, savings, small business playbook, investing, source:tagname:cnbc us source]",0,0,0
2020-09-17T15:57:50+0000,"[cnbc, articles, race for white house, elections, donald trump, politics, covid-19, joe biden, us: news, polls, democrats, republicans, coronavirus, 2020 elections, white house, source:tagname:cnbc us source]",0,1,0
2011-02-07T23:10:42+0000,"[cnbc, articles, s&p 500 index, howmet aerospace inc, caterpillar inc, chevron corp, e i du pont de nemours and co, walt disney co, general electric co, pfizer inc, exxon mobil corp, cnbc tv, fast money, source:tagname:cnbc us source]",0,0,0
2015-04-13T16:16:05+0000,"[jana founder and  managing partner barry rosenstein said on monday.  \"\"we are convinced that the board and the management recognize  their issues. we are convinced that they're trying to do the  right thing]",0,0,0
2012-11-05T06:36:34+0000,"[cnbc, articles, business news, economy, europe economy, source:tagname:cnbc us source]",0,0,0
2020-12-04T18:28:39+0000,[including one with at least 900 guests invited],0,0,0
2020-10-14T09:48:51+0000,[an associate professor studying social media disinformation at clemson university],0,0,0
2009-04-01T14:20:14+0000,"[cnbc, articles, executive careers, source:tagname:cnbc us source]",0,0,0
2016-07-08T13:34:27+0000,"[\"\" wedbush's  aaron turner wrote in a note to clients thursday.  \"\"we believe recent delivery initiatives and strategic  acquisitions coupled with continued diner adoption of  mobile-based restaurant take-out and delivery methods should  drive robust revenue and earnings growth for the foreseeable  future.\"\"\"]",0,0,0
2016-04-28T20:26:47+0000,[if you have only about $100],0,0,0
2012-10-08T10:56:30+0000,"[cnbc, articles, commodity markets, currency markets, bonds, barclays plc, hsbc holdings plc, meta platforms inc, microsoft corp, alphabet class a, international business machines corp, howmet aerospace inc, citigroup inc, goldman sachs group inc, currencies, futures & commodities, dow 30, markets, stocks, stock blog, source:tagname:cnbc us source]",0,0,0
2020-07-28T15:00:07+0000,[delaware. there],0,0,0
2018-02-26T06:41:19+0000,[backing government forces fighting iran-allied houthi rebels. iran has denied supplying the houthis weapons.a u.n. security council resolution needs nine votes in favor and no vetoes by russia],0,0,0
2009-08-20T15:32:56+0000,"[cnbc, articles, business news, economy, europe economy, source:tagname:cnbc us source]",0,0,0
2016-03-14T19:58:52+0000,[rich pzena],0,0,0
2016-12-12T20:19:03+0000,"[\"\" chad  morganlander]",0,0,0
2015-08-03T10:18:40+0000,"[\"\" \"\"toy story]",0,0,0
2010-11-12T18:28:03+0000,"",0,0,0
000 series 2010B refunding bonds (subordinate lien).The bonds are being issued for refunding purposes.In addition,"",0,0,0
is,"",0,0,0
although,"",0,0,0
subject to,"",0,0,0
were revised downward repeatedly over the course,"",0,0,0
and the state,"",0,0,0
until November,"",0,0,0
86% of the U.S. level. Personal income performance has,"",0,0,0
almost,"",0,0,0
2010;,"",0,0,0
2010.For information on Build America Bonds,"",0,0,0
CONFLICTS OF INTEREST,"",0,0,0
https://sc.cnbcfm.com/applications/cnbc.com/staticcontent/img/cnbc_logo.gif?v=1524171804&w=720&h=405,"",0,0,0
"000 series 2010B refunding bonds (subordinate lien).</p><p>The bonds are being issued for refunding purposes.</p><div style=\"\"height:100%\"\" class=\"\"lazyload-placeholder\"\"></div><p>In addition","",0,0,0
is,"",0,0,0
although,"",0,0,0
subject to,"",0,0,0
were revised downward repeatedly over the course,"",0,0,0
and the state,"",0,0,0
until November,"",0,0,0
86% of the U.S. level. Personal income performance has,"",0,0,0
almost,"",0,0,0
2010;,"",0,0,0
2010.</p><p>For information on Build America Bonds,"",0,0,0
CONFLICTS OF INTEREST,"",0,0,0
000 series 2010B refunding bonds (subordinate lien).The bonds are being issued for refunding purposes.In addition,"",0,0,0
is,"",0,0,0
although,"",0,0,0
subject to,"",0,0,0
were revised downward repeatedly over the course,"",0,0,0
and the state,"",0,0,0
until November,"",0,0,0
86% of the U.S. level. Personal income performance has,"",0,0,0
almost,"",0,0,0
2010;,"",0,0,0
2010.For information on Build America Bonds,"",0,0,0
CONFLICTS OF INTEREST,"",0,0,0
2007-01-18T19:57:17+0000,"[cnbc, articles, cnbc tv, power lunch, source:tagname:cnbc us source]",0,0,0
2016-10-12T09:45:55+0000,"[lawmakers  warned in a report on wednesday.  u.k. members of parliament (mps) have called for the creation of  an artificial intelligence (ai) commission to examine the effect  new technologies will have on society.   \"\"artificial intelligence has some way to go before we see systems  and robots as portrayed in the creative arts such as star wars]",0,0,0
2011-03-02T13:08:52+0000,"[cnbc, articles, ansys inc, bank of america corp, british american tobacco plc, citigroup inc, costco wholesale corp, microsoft corp, philip morris international inc, qlik technologies inc, staples inc, cnbc tv, squawk on the street, source:tagname:cnbc us source]",0,0,0
2011-06-11T19:58:27+0000,"[cnbc, articles, politics, source:tagname:the associated press]",0,1,0
2014-04-24T04:08:05+0000,[according to mobile analytics firm flurry],0,0,0
2012-07-10T18:59:14+0000,"[cnbc, articles, s&p 500 index, ishares 20+ year treasury bond etf, fed should raise interest rates to 2-3 percent: einhorn, bank crisis strikes europe, cnbc tv, fast money, fast money: behind the money, source:tagname:cnbc us source]",0,0,0
2015-06-16T12:56:19+0000,[as for no apparent reason we  have seen bets of up to £200 [$312] on damian lewis being  named as the next bond. this could well be significant and might  herald the end of daniel craig as the world's most famous spy],0,0,0
2009-09-25T13:31:52+0000,"[while the deal will help sara lee repurchase $1 billion in stock and \"\"invest for growth\"\" in core businesses. the companies expect the deal to close next year. 3) another ipo: the busy week for ipos continues today. shanda games (game) priced its nasdaq-listed shares at $12.50 - at the high end of the previously announced range of $10.50-$12.50. the chinese online video game operator raised $1 billion and becomes the biggest ipo in the u.s. this year. 4) we're growing]",0,0,0
2014-05-08T14:53:51+0000,[a leader of the self-declared  separatist donetsk people's republic],0,0,0
2009-07-14T20:07:09+0000,"[cnbc, articles, altera corp, cit group inc, elite pharmaceuticals inc, goldman sachs group inc, home depot inc, hovnanian enterprises inc, intel corp, johnson & johnson, prudential financial inc, at&t inc, travelers companies inc, spdr s&p homebuilders etf, yum! brands inc, dell inc, howmet aerospace inc, u.s. markets top news, source:tagname:cnbc us source]",0,0,0
2019-09-26T09:27:32+0000,"[cnbc, articles, asia economy, telecommunications equipment manufacturing, telecommunications, telecommunications software, mobile networks, huawei, internet, technology, mobile, china politics, source:tagname:cnbc asia source]",0,0,0
2013-02-28T11:47:45+0000,"[\"\" he said]",0,0,0
2012-09-24T21:22:51+0000,"[cnbc, articles, opinion, source:tagname:oilprice]",0,0,0
